experiment_accession	target_name	control_accession	is_control	description
ENCSR443NPK	CSDE1	ENCSR846FYP	false	RNA Bind-n-Seq (RBNS) pulldown experiment against CSDE1
ENCSR642PJQ	SYNCRIP	ENCSR373XIN	false	RNA Bind-n-Seq (RBNS) pulldown experiment against SYNCRIP
ENCSR021IWR	THUMPD1	ENCSR180GCW	false	RNA Bind-n-Seq (RBNS) pulldown experiment against THUMPD1
ENCSR326HIV			true	RNA Bind-n-Seq (RBNS) input control experiment of RBM11
ENCSR456IMV	TDRD10		false	RNA Bind-n-Seq (RBNS) pulldown experiment against TDRD10
ENCSR614KXG	ZC3H18	ENCSR429WJF	false	RNA Bind-n-Seq (RBNS) pulldown experiment against ZC3H18
ENCSR345PWR	RBM5	ENCSR782ZXU	false	RNA Bind-n-Seq (RBNS) pulldown experiment against RBM5
ENCSR605EEO	ZC3H10		false	RNA Bind-n-Seq (RBNS) pulldown experiment against ZC3H10
ENCSR782ZXU			true	RNA Bind-n-Seq (RBNS) input control experiment of RBM5
ENCSR446UHZ	RBM20		false	RNA Bind-n-Seq (RBNS) pulldown experiment against RBM20
ENCSR079FDB	SF3B6		false	RNA Bind-n-Seq (RBNS) pulldown experiment against SF3B14
ENCSR086YTW			true	RNA Bind-n-Seq (RBNS) input control experiment of RBM3
ENCSR251CSO			true	RNA Bind-n-Seq (RBNS) input control experiment of ZFP36L1
ENCSR387CDD	NSUN2	ENCSR879LDT	false	RNA Bind-n-Seq (RBNS) pulldown experiment against NSUN2
ENCSR051WAN	PABPC3	ENCSR384MUT	false	RNA Bind-n-Seq (RBNS) pulldown experiment against PABPC3
ENCSR429WJF			true	RNA Bind-n-Seq (RBNS) input control experiment of ZC3H18
ENCSR890PDQ	HNRNPA2B1	ENCSR193UFP	false	RNA Bind-n-Seq (RBNS) pulldown experiment against HNRNPA2B1
ENCSR234DYH			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of hnRNPF
ENCSR394HHV			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of hnRNPD
ENCSR881AMH			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of FUS
ENCSR704XYB			true	RNA Bind-n-Seq (RBNS) input control experiment of MSI1
ENCSR697KPL			true	RNA Bind-n-Seq (RBNS) input control experiment of IGF2BP2
ENCSR564NVP			true	RNA Bind-n-Seq (RBNS) input control experiment of RBFOX2
ENCSR915BDY	KHSRP		false	RNA Bind-n-Seq (RBNS) pulldown experiment against KHSRP
ENCSR757IDL			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of MSI1
ENCSR773QCC	PUF60	ENCSR474BVN	false	RNA Bind-n-Seq (RBNS) pulldown experiment against PUF60
ENCSR416ZAE			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of SRSF10
ENCSR005ZRL	DAZAP1	ENCSR206YLC	false	RNA Bind-n-Seq (RBNS) pulldown experiment against DAZAP1
ENCSR373XIN			true	RNA Bind-n-Seq (RBNS) input control experiment of SYNCRIP
ENCSR133EBP			true	RNA Bind-n-Seq (RBNS) input control experiment of HNRNPA1L2
ENCSR199MJK	RBM11	ENCSR326HIV	false	RNA Bind-n-Seq (RBNS) pulldown experiment against RBM11
ENCSR929OLV	SRSF8	ENCSR693HGG	false	RNA Bind-n-Seq (RBNS) pulldown experiment against SRSF8
ENCSR259BLT			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of RBM23
ENCSR234LUY			true	RNA Bind-n-Seq (RBNS) input control experiment of SRSF4
ENCSR275JFN	SRSF2	ENCSR694VQW	false	RNA Bind-n-Seq (RBNS) pulldown experiment against SRSF2
ENCSR694VQW			true	RNA Bind-n-Seq (RBNS) input control experiment of SRSF2
ENCSR960GMF			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of SRSF2
ENCSR971BTX			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of ESRP1
ENCSR775PWD			true	RNA Bind-n-Seq (RBNS) input control experiment of RBM23
ENCSR954TYO	HNRNPL	ENCSR307EIC	false	RNA Bind-n-Seq (RBNS) pulldown experiment against HNRNPL
ENCSR693HGG			true	RNA Bind-n-Seq (RBNS) mock pulldown control experiment of SRSF8
ENCSR082AKW	ESRP1	ENCSR236YBZ	false	RNA Bind-n-Seq (RBNS) pulldown experiment against ESRP1
ENCSR368NMO	HNRNPK	ENCSR944GMN	false	RNA Bind-n-Seq (RBNS) pulldown experiment against HNRNPK
ENCSR831ZFS			true	RNA Bind-n-Seq (RBNS) input control experiment of hnRNPC
ENCSR973JRB			true	RNA Bind-n-Seq (RBNS) input control experiment of YBX2
ENCSR252RIJ	SRSF4	ENCSR234LUY	false	RNA Bind-n-Seq (RBNS) pulldown experiment against SRSF4
ENCSR759QKO	RBM25	ENCSR391IGH	false	RNA Bind-n-Seq (RBNS) pulldown experiment against RBM25
