file_accession	experiment_accession	target_name	concentration_nM	library_type	download_url	file_type
ENCFF094VAN	ENCSR443NPK	CSDE1	1300	pulldown	https://www.encodeproject.org/files/ENCFF094VAN/@@download/ENCFF094VAN.fastq.gz	fastq
ENCFF645OQW	ENCSR443NPK	CSDE1	5	pulldown	https://www.encodeproject.org/files/ENCFF645OQW/@@download/ENCFF645OQW.fastq.gz	fastq
ENCFF485AIN	ENCSR443NPK	CSDE1	80	pulldown	https://www.encodeproject.org/files/ENCFF485AIN/@@download/ENCFF485AIN.fastq.gz	fastq
ENCFF031ZQZ	ENCSR642PJQ	SYNCRIP	80	pulldown	https://www.encodeproject.org/files/ENCFF031ZQZ/@@download/ENCFF031ZQZ.fastq.gz	fastq
ENCFF311VEA	ENCSR642PJQ	SYNCRIP	1300	pulldown	https://www.encodeproject.org/files/ENCFF311VEA/@@download/ENCFF311VEA.fastq.gz	fastq
ENCFF987JUM	ENCSR642PJQ	SYNCRIP	5	pulldown	https://www.encodeproject.org/files/ENCFF987JUM/@@download/ENCFF987JUM.fastq.gz	fastq
ENCFF102LTO	ENCSR021IWR	THUMPD1	1300	pulldown	https://www.encodeproject.org/files/ENCFF102LTO/@@download/ENCFF102LTO.fastq.gz	fastq
ENCFF223DCK	ENCSR021IWR	THUMPD1	5	pulldown	https://www.encodeproject.org/files/ENCFF223DCK/@@download/ENCFF223DCK.fastq.gz	fastq
ENCFF229VDA	ENCSR021IWR	THUMPD1	80	pulldown	https://www.encodeproject.org/files/ENCFF229VDA/@@download/ENCFF229VDA.fastq.gz	fastq
ENCFF101NND	ENCSR326HIV	(control)	0	input	https://www.encodeproject.org/files/ENCFF101NND/@@download/ENCFF101NND.fastq.gz	fastq
ENCFF311QTO	ENCSR456IMV	TDRD10	1300	pulldown	https://www.encodeproject.org/files/ENCFF311QTO/@@download/ENCFF311QTO.fastq.gz	fastq
ENCFF117GBU	ENCSR456IMV	TDRD10	5	pulldown	https://www.encodeproject.org/files/ENCFF117GBU/@@download/ENCFF117GBU.fastq.gz	fastq
ENCFF637GMS	ENCSR456IMV	TDRD10	80	pulldown	https://www.encodeproject.org/files/ENCFF637GMS/@@download/ENCFF637GMS.fastq.gz	fastq
ENCFF948RDB	ENCSR614KXG	ZC3H18	1300	pulldown	https://www.encodeproject.org/files/ENCFF948RDB/@@download/ENCFF948RDB.fastq.gz	fastq
ENCFF304PSD	ENCSR614KXG	ZC3H18	80	pulldown	https://www.encodeproject.org/files/ENCFF304PSD/@@download/ENCFF304PSD.fastq.gz	fastq
ENCFF905HAO	ENCSR614KXG	ZC3H18	5	pulldown	https://www.encodeproject.org/files/ENCFF905HAO/@@download/ENCFF905HAO.fastq.gz	fastq
ENCFF444DXH	ENCSR345PWR	RBM5	5	pulldown	https://www.encodeproject.org/files/ENCFF444DXH/@@download/ENCFF444DXH.fastq.gz	fastq
ENCFF361NTW	ENCSR345PWR	RBM5	80	pulldown	https://www.encodeproject.org/files/ENCFF361NTW/@@download/ENCFF361NTW.fastq.gz	fastq
ENCFF150UEU	ENCSR345PWR	RBM5	1300	pulldown	https://www.encodeproject.org/files/ENCFF150UEU/@@download/ENCFF150UEU.fastq.gz	fastq
ENCFF244KWF	ENCSR605EEO	ZC3H10	5	pulldown	https://www.encodeproject.org/files/ENCFF244KWF/@@download/ENCFF244KWF.fastq.gz	fastq
ENCFF320AIR	ENCSR605EEO	ZC3H10	1300	pulldown	https://www.encodeproject.org/files/ENCFF320AIR/@@download/ENCFF320AIR.fastq.gz	fastq
ENCFF951DBV	ENCSR605EEO	ZC3H10	80	pulldown	https://www.encodeproject.org/files/ENCFF951DBV/@@download/ENCFF951DBV.fastq.gz	fastq
ENCFF773UWT	ENCSR782ZXU	(control)	0	input	https://www.encodeproject.org/files/ENCFF773UWT/@@download/ENCFF773UWT.fastq.gz	fastq
ENCFF520OQE	ENCSR446UHZ	RBM20	5	pulldown	https://www.encodeproject.org/files/ENCFF520OQE/@@download/ENCFF520OQE.fastq.gz	fastq
ENCFF781JHV	ENCSR446UHZ	RBM20	1300	pulldown	https://www.encodeproject.org/files/ENCFF781JHV/@@download/ENCFF781JHV.fastq.gz	fastq
ENCFF653WQY	ENCSR446UHZ	RBM20	80	pulldown	https://www.encodeproject.org/files/ENCFF653WQY/@@download/ENCFF653WQY.fastq.gz	fastq
ENCFF578APX	ENCSR079FDB	SF3B6	1300	pulldown	https://www.encodeproject.org/files/ENCFF578APX/@@download/ENCFF578APX.fastq.gz	fastq
ENCFF228BDE	ENCSR079FDB	SF3B6	5	pulldown	https://www.encodeproject.org/files/ENCFF228BDE/@@download/ENCFF228BDE.fastq.gz	fastq
ENCFF448IKY	ENCSR079FDB	SF3B6	80	pulldown	https://www.encodeproject.org/files/ENCFF448IKY/@@download/ENCFF448IKY.fastq.gz	fastq
ENCFF864GIN	ENCSR086YTW	(control)	0	input	https://www.encodeproject.org/files/ENCFF864GIN/@@download/ENCFF864GIN.fastq.gz	fastq
ENCFF084WMM	ENCSR251CSO	(control)	0	input	https://www.encodeproject.org/files/ENCFF084WMM/@@download/ENCFF084WMM.fastq.gz	fastq
ENCFF399SZJ	ENCSR387CDD	NSUN2	1300	pulldown	https://www.encodeproject.org/files/ENCFF399SZJ/@@download/ENCFF399SZJ.fastq.gz	fastq
ENCFF106PAT	ENCSR387CDD	NSUN2	5	pulldown	https://www.encodeproject.org/files/ENCFF106PAT/@@download/ENCFF106PAT.fastq.gz	fastq
ENCFF436MVF	ENCSR387CDD	NSUN2	80	pulldown	https://www.encodeproject.org/files/ENCFF436MVF/@@download/ENCFF436MVF.fastq.gz	fastq
ENCFF225UDG	ENCSR051WAN	PABPC3	5	pulldown	https://www.encodeproject.org/files/ENCFF225UDG/@@download/ENCFF225UDG.fastq.gz	fastq
ENCFF836ATV	ENCSR051WAN	PABPC3	1300	pulldown	https://www.encodeproject.org/files/ENCFF836ATV/@@download/ENCFF836ATV.fastq.gz	fastq
ENCFF033GJN	ENCSR051WAN	PABPC3	80	pulldown	https://www.encodeproject.org/files/ENCFF033GJN/@@download/ENCFF033GJN.fastq.gz	fastq
ENCFF647VIQ	ENCSR429WJF	(control)	0	input	https://www.encodeproject.org/files/ENCFF647VIQ/@@download/ENCFF647VIQ.fastq.gz	fastq
ENCFF633PYG	ENCSR890PDQ	HNRNPA2B1	5	pulldown	https://www.encodeproject.org/files/ENCFF633PYG/@@download/ENCFF633PYG.fastq.gz	fastq
ENCFF272CDH	ENCSR890PDQ	HNRNPA2B1	20	pulldown	https://www.encodeproject.org/files/ENCFF272CDH/@@download/ENCFF272CDH.fastq.gz	fastq
ENCFF284NLC	ENCSR890PDQ	HNRNPA2B1	320	pulldown	https://www.encodeproject.org/files/ENCFF284NLC/@@download/ENCFF284NLC.fastq.gz	fastq
ENCFF871IQB	ENCSR890PDQ	HNRNPA2B1	80	pulldown	https://www.encodeproject.org/files/ENCFF871IQB/@@download/ENCFF871IQB.fastq.gz	fastq
ENCFF486QQA	ENCSR890PDQ	HNRNPA2B1	1300	pulldown	https://www.encodeproject.org/files/ENCFF486QQA/@@download/ENCFF486QQA.fastq.gz	fastq
ENCFF002DGA	ENCSR234DYH	(control)	0	input	https://www.encodeproject.org/files/ENCFF002DGA/@@download/ENCFF002DGA.fastq.gz	fastq
ENCFF002DFT	ENCSR394HHV	(control)	0	input	https://www.encodeproject.org/files/ENCFF002DFT/@@download/ENCFF002DFT.fastq.gz	fastq
ENCFF441MLG	ENCSR881AMH	(control)	0	input	https://www.encodeproject.org/files/ENCFF441MLG/@@download/ENCFF441MLG.fastq.gz	fastq
ENCFF919AUN	ENCSR704XYB	(control)	0	input	https://www.encodeproject.org/files/ENCFF919AUN/@@download/ENCFF919AUN.fastq.gz	fastq
ENCFF917XEN	ENCSR697KPL	(control)	0	input	https://www.encodeproject.org/files/ENCFF917XEN/@@download/ENCFF917XEN.fastq.gz	fastq
ENCFF002DHJ	ENCSR564NVP	(control)	0	input	https://www.encodeproject.org/files/ENCFF002DHJ/@@download/ENCFF002DHJ.fastq.gz	fastq
ENCFF385FOT	ENCSR915BDY	KHSRP	5	pulldown	https://www.encodeproject.org/files/ENCFF385FOT/@@download/ENCFF385FOT.fastq.gz	fastq
ENCFF778ABV	ENCSR915BDY	KHSRP	20	pulldown	https://www.encodeproject.org/files/ENCFF778ABV/@@download/ENCFF778ABV.fastq.gz	fastq
ENCFF608BCN	ENCSR915BDY	KHSRP	320	pulldown	https://www.encodeproject.org/files/ENCFF608BCN/@@download/ENCFF608BCN.fastq.gz	fastq
ENCFF487JGC	ENCSR915BDY	KHSRP	80	pulldown	https://www.encodeproject.org/files/ENCFF487JGC/@@download/ENCFF487JGC.fastq.gz	fastq
ENCFF641RTT	ENCSR915BDY	KHSRP	1300	pulldown	https://www.encodeproject.org/files/ENCFF641RTT/@@download/ENCFF641RTT.fastq.gz	fastq
ENCFF928YLI	ENCSR757IDL	(control)	0	input	https://www.encodeproject.org/files/ENCFF928YLI/@@download/ENCFF928YLI.fastq.gz	fastq
ENCFF092OVI	ENCSR773QCC	PUF60	5	pulldown	https://www.encodeproject.org/files/ENCFF092OVI/@@download/ENCFF092OVI.fastq.gz	fastq
ENCFF071TXE	ENCSR773QCC	PUF60	320	pulldown	https://www.encodeproject.org/files/ENCFF071TXE/@@download/ENCFF071TXE.fastq.gz	fastq
ENCFF838ARR	ENCSR773QCC	PUF60	1300	pulldown	https://www.encodeproject.org/files/ENCFF838ARR/@@download/ENCFF838ARR.fastq.gz	fastq
ENCFF748VRH	ENCSR773QCC	PUF60	80	pulldown	https://www.encodeproject.org/files/ENCFF748VRH/@@download/ENCFF748VRH.fastq.gz	fastq
ENCFF262OPY	ENCSR773QCC	PUF60	20	pulldown	https://www.encodeproject.org/files/ENCFF262OPY/@@download/ENCFF262OPY.fastq.gz	fastq
ENCFF208GAK	ENCSR416ZAE	(control)	0	input	https://www.encodeproject.org/files/ENCFF208GAK/@@download/ENCFF208GAK.fastq.gz	fastq
ENCFF159FNQ	ENCSR005ZRL	DAZAP1	20	pulldown	https://www.encodeproject.org/files/ENCFF159FNQ/@@download/ENCFF159FNQ.fastq.gz	fastq
ENCFF548LGA	ENCSR005ZRL	DAZAP1	5	pulldown	https://www.encodeproject.org/files/ENCFF548LGA/@@download/ENCFF548LGA.fastq.gz	fastq
ENCFF766DOA	ENCSR005ZRL	DAZAP1	80	pulldown	https://www.encodeproject.org/files/ENCFF766DOA/@@download/ENCFF766DOA.fastq.gz	fastq
ENCFF887GOK	ENCSR005ZRL	DAZAP1	320	pulldown	https://www.encodeproject.org/files/ENCFF887GOK/@@download/ENCFF887GOK.fastq.gz	fastq
ENCFF387GNF	ENCSR005ZRL	DAZAP1	1300	pulldown	https://www.encodeproject.org/files/ENCFF387GNF/@@download/ENCFF387GNF.fastq.gz	fastq
ENCFF066UKZ	ENCSR373XIN	(control)	0	input	https://www.encodeproject.org/files/ENCFF066UKZ/@@download/ENCFF066UKZ.fastq.gz	fastq
ENCFF794LYE	ENCSR133EBP	(control)	0	input	https://www.encodeproject.org/files/ENCFF794LYE/@@download/ENCFF794LYE.fastq.gz	fastq
ENCFF999PNF	ENCSR199MJK	RBM11	1300	pulldown	https://www.encodeproject.org/files/ENCFF999PNF/@@download/ENCFF999PNF.fastq.gz	fastq
ENCFF767VHJ	ENCSR199MJK	RBM11	5	pulldown	https://www.encodeproject.org/files/ENCFF767VHJ/@@download/ENCFF767VHJ.fastq.gz	fastq
ENCFF604IEH	ENCSR199MJK	RBM11	80	pulldown	https://www.encodeproject.org/files/ENCFF604IEH/@@download/ENCFF604IEH.fastq.gz	fastq
ENCFF746BQQ	ENCSR929OLV	SRSF8	5	pulldown	https://www.encodeproject.org/files/ENCFF746BQQ/@@download/ENCFF746BQQ.fastq.gz	fastq
ENCFF046HXG	ENCSR929OLV	SRSF8	1300	pulldown	https://www.encodeproject.org/files/ENCFF046HXG/@@download/ENCFF046HXG.fastq.gz	fastq
ENCFF172SZM	ENCSR929OLV	SRSF8	20	pulldown	https://www.encodeproject.org/files/ENCFF172SZM/@@download/ENCFF172SZM.fastq.gz	fastq
ENCFF625PWF	ENCSR929OLV	SRSF8	320	pulldown	https://www.encodeproject.org/files/ENCFF625PWF/@@download/ENCFF625PWF.fastq.gz	fastq
ENCFF260OIA	ENCSR929OLV	SRSF8	80	pulldown	https://www.encodeproject.org/files/ENCFF260OIA/@@download/ENCFF260OIA.fastq.gz	fastq
ENCFF621AFM	ENCSR259BLT	(control)	0	input	https://www.encodeproject.org/files/ENCFF621AFM/@@download/ENCFF621AFM.fastq.gz	fastq
ENCFF472NVZ	ENCSR234LUY	(control)	0	input	https://www.encodeproject.org/files/ENCFF472NVZ/@@download/ENCFF472NVZ.fastq.gz	fastq
